Timestamp,HR,RR,unix_time
2023/11/4 19:15:58,88,0.684,1699125358.0
2023/11/4 19:15:59,88,0.685,1699125359.0
2023/11/4 19:16:00,88,0.684,1699125360.0
2023/11/4 19:16:01,88,0.695,1699125361.0
2023/11/4 19:16:02,88,0.687,1699125362.0
2023/11/4 19:16:03,88,0.673,1699125363.0
2023/11/4 19:16:04,88,0.666,1699125364.0
2023/11/4 19:16:05,89,0.657,1699125365.0
2023/11/4 19:16:06,89,0.658,1699125366.0
2023/11/4 19:16:07,89,0.675,1699125367.0
2023/11/4 19:16:08,90,0.69,1699125368.0
2023/11/4 19:16:09,89,0.703,1699125369.0
2023/11/4 19:16:10,88,0.705,1699125370.0
2023/11/4 19:16:11,88,0.661,1699125371.0
2023/11/4 19:16:12,88,0.659,1699125372.0
2023/11/4 19:16:13,89,0.646,1699125373.0
2023/11/4 19:16:14,89,0.639,1699125374.0
2023/11/4 19:16:15,91,0.625,1699125375.0
2023/11/4 19:16:16,92,0.621,1699125376.0
2023/11/4 19:16:17,93,0.615,1699125377.0
2023/11/4 19:16:18,94,0.612,1699125378.0
2023/11/4 19:16:19,95,0.614,1699125379.0
2023/11/4 19:16:20,96,0.624,1699125380.0
2023/11/4 19:16:21,96,0.637,1699125381.0
2023/11/4 19:16:22,96,0.646,1699125382.0
2023/11/4 19:16:23,95,0.657,1699125383.0
2023/11/4 19:16:24,94,0.66,1699125384.0
2023/11/4 19:16:25,93,0.671,1699125385.0
2023/11/4 19:16:26,92,0.679,1699125386.0
2023/11/4 19:16:27,92,0.653,1699125387.0
2023/11/4 19:16:28,92,0.655,1699125388.0
2023/11/4 19:16:29,91,0.683,1699125389.0
2023/11/4 19:16:30,91,0.687,1699125390.0
2023/11/4 19:16:31,90,0.695,1699125391.0
2023/11/4 19:16:32,89,0.678,1699125392.0
2023/11/4 19:16:33,89,0.691,1699125393.0
2023/11/4 19:16:34,89,0.688,1699125394.0
2023/11/4 19:16:35,88,0.689,1699125395.0
2023/11/4 19:16:36,88,0.696,1699125396.0
2023/11/4 19:16:37,88,0.699,1699125397.0
2023/11/4 19:16:38,87,0.68,1699125398.0
2023/11/4 19:16:39,88,0.688,1699125399.0
2023/11/4 19:16:40,88,0.679,1699125400.0
2023/11/4 19:16:41,88,0.665,1699125401.0
2023/11/4 19:16:42,88,0.674,1699125402.0
2023/11/4 19:16:43,88,0.681,1699125403.0
2023/11/4 19:16:44,88,0.686,1699125404.0
2023/11/4 19:16:45,88,0.684,1699125405.0
2023/11/4 19:16:46,88,0.679,1699125406.0
2023/11/4 19:16:47,88,0.686,1699125407.0
2023/11/4 19:16:48,88,0.694,1699125408.0
2023/11/4 19:16:49,88,0.692,1699125409.0
2023/11/4 19:16:50,88,0.707,1699125410.0
2023/11/4 19:16:51,87,0.705,1699125411.0
2023/11/4 19:16:52,87,0.688,1699125412.0
2023/11/4 19:16:53,87,0.683,1699125413.0
2023/11/4 19:16:54,87,0.683,1699125414.0
2023/11/4 19:16:55,87,0.677,1699125415.0
2023/11/4 19:16:56,87,0.676,1699125416.0
2023/11/4 19:16:57,88,0.651,1699125417.0
2023/11/4 19:16:58,88,0.643,1699125418.0
2023/11/4 19:16:59,90,0.631,1699125419.0
2023/11/4 19:17:00,90,0.619,1699125420.0
2023/11/4 19:17:01,92,0.615,1699125421.0
2023/11/4 19:17:02,94,0.614,1699125422.0
2023/11/4 19:17:03,94,0.616,1699125423.0
2023/11/4 19:17:04,95,0.617,1699125424.0
2023/11/4 19:17:05,96,0.622,1699125425.0
2023/11/4 19:17:06,96,0.628,1699125426.0
2023/11/4 19:17:07,96,0.624,1699125427.0
2023/11/4 19:17:08,96,0.621,1699125428.0
2023/11/4 19:17:09,96,0.625,1699125429.0
2023/11/4 19:17:10,96,0.627,1699125430.0
2023/11/4 19:17:11,96,0.617,1699125431.0
2023/11/4 19:17:12,96,0.628,1699125432.0
2023/11/4 19:17:22,98,0.606,1699125442.0
2023/11/4 19:17:23,98,0.62,1699125443.0
2023/11/4 19:17:24,98,0.666,1699125444.0
2023/11/4 19:17:25,96,0.678,1699125445.0
2023/11/4 19:17:26,94,0.706,1699125446.0
2023/11/4 19:17:27,92,0.711,1699125447.0
2023/11/4 19:17:28,91,0.728,1699125448.0
2023/11/4 19:17:29,89,0.704,1699125449.0
2023/11/4 19:17:30,88,0.705,1699125450.0
2023/11/4 19:17:31,88,0.696,1699125451.0
2023/11/4 19:17:32,87,0.697,1699125452.0
2023/11/4 19:17:33,87,0.693,1699125453.0
2023/11/4 19:17:34,87,0.69,1699125454.0
2023/11/4 19:17:35,87,0.684,1699125455.0
2023/11/4 19:17:36,87,0.704,1699125456.0
2023/11/4 19:17:37,87,0.703,1699125457.0
2023/11/4 19:17:38,87,0.688,1699125458.0
2023/11/4 19:17:39,87,0.667,1699125459.0
2023/11/4 19:17:40,87,0.652,1699125460.0
2023/11/4 19:17:41,88,0.652,1699125461.0
2023/11/4 19:17:42,89,0.653,1699125462.0
2023/11/4 19:17:43,90,0.64,1699125463.0
2023/11/4 19:17:44,90,0.634,1699125464.0
2023/11/4 19:17:45,92,0.645,1699125465.0
2023/11/4 19:17:46,92,0.647,1699125466.0
2023/11/4 19:17:47,92,0.681,1699125467.0
2023/11/4 19:17:48,92,0.685,1699125468.0
2023/11/4 19:17:49,90,0.686,1699125469.0
2023/11/4 19:17:50,90,0.687,1699125470.0
2023/11/4 19:17:51,90,0.69,1699125471.0
2023/11/4 19:17:52,89,0.689,1699125472.0
2023/11/4 19:17:53,89,0.68,1699125473.0
2023/11/4 19:17:54,88,0.673,1699125474.0
2023/11/4 19:17:55,89,0.667,1699125475.0
2023/11/4 19:17:56,89,0.674,1699125476.0
2023/11/4 19:17:57,89,0.683,1699125477.0
2023/11/4 19:17:58,89,0.697,1699125478.0
2023/11/4 19:17:59,88,0.703,1699125479.0
2023/11/4 19:18:00,88,0.703,1699125480.0
2023/11/4 19:18:01,87,0.718,1699125481.0
2023/11/4 19:18:02,87,0.717,1699125482.0
2023/11/4 19:18:03,86,0.702,1699125483.0
2023/11/4 19:18:04,86,0.702,1699125484.0
2023/11/4 19:18:05,86,0.714,1699125485.0
2023/11/4 19:18:06,86,0.715,1699125486.0
2023/11/4 19:18:07,85,0.714,1699125487.0
2023/11/4 19:18:08,85,0.699,1699125488.0
2023/11/4 19:18:09,85,0.692,1699125489.0
2023/11/4 19:18:10,86,0.671,1699125490.0
2023/11/4 19:18:11,86,0.669,1699125491.0
2023/11/4 19:18:12,87,0.66,1699125492.0
2023/11/4 19:18:13,88,0.655,1699125493.0
2023/11/4 19:18:14,89,0.642,1699125494.0
2023/11/4 19:18:15,90,0.632,1699125495.0
2023/11/4 19:18:16,91,0.631,1699125496.0
2023/11/4 19:18:17,92,0.628,1699125497.0
2023/11/4 19:18:18,92,0.631,1699125498.0
2023/11/4 19:18:19,93,0.638,1699125499.0
2023/11/4 19:18:20,94,0.634,1699125500.0
2023/11/4 19:18:21,94,0.633,1699125501.0
2023/11/4 19:18:22,94,0.624,1699125502.0
2023/11/4 19:18:23,94,0.622,1699125503.0
2023/11/4 19:18:24,95,0.624,1699125504.0
2023/11/4 19:18:25,95,0.626,1699125505.0
2023/11/4 19:18:26,95,0.647,1699125506.0
2023/11/4 19:18:27,95,0.658,1699125507.0
2023/11/4 19:18:28,94,0.685,1699125508.0
2023/11/4 19:18:29,93,0.691,1699125509.0
2023/11/4 19:18:30,91,0.67,1699125510.0
2023/11/4 19:18:31,91,0.639,1699125511.0
2023/11/4 19:18:32,91,0.627,1699125512.0
2023/11/4 19:18:33,92,0.613,1699125513.0
2023/11/4 19:18:34,93,0.616,1699125514.0
2023/11/4 19:18:35,94,0.615,1699125515.0
2023/11/4 19:18:36,95,0.627,1699125516.0
2023/11/4 19:18:37,96,0.637,1699125517.0
2023/11/4 19:18:38,95,0.642,1699125518.0
2023/11/4 19:18:39,95,0.631,1699125519.0
2023/11/4 19:18:40,95,0.633,1699125520.0
2023/11/4 19:18:41,95,0.618,1699125521.0
2023/11/4 19:18:42,95,0.616,1699125522.0
2023/11/4 19:18:43,96,0.61,1699125523.0
2023/11/4 19:18:44,97,0.607,1699125524.0
2023/11/4 19:18:45,97,0.613,1699125525.0
2023/11/4 19:18:46,97,0.613,1699125526.0
2023/11/4 19:18:48,98,0.626,1699125528.0
2023/11/4 19:18:49,97,0.615,1699125529.0
2023/11/4 19:18:50,97,0.615,1699125530.0
2023/11/4 19:18:51,97,0.599,1699125531.0
2023/11/4 19:18:52,98,0.6,1699125532.0
2023/11/4 19:18:53,99,0.594,1699125533.0
2023/11/4 19:18:54,99,0.592,1699125534.0
2023/11/4 19:18:55,100,0.604,1699125535.0
2023/11/4 19:18:56,100,0.61,1699125536.0
2023/11/4 19:18:57,100,0.608,1699125537.0
2023/11/4 19:18:58,99,0.613,1699125538.0
2023/11/4 19:18:59,99,0.606,1699125539.0
2023/11/4 19:19:00,99,0.598,1699125540.0
2023/11/4 19:19:01,99,0.598,1699125541.0
2023/11/4 19:19:02,100,0.595,1699125542.0
2023/11/4 19:19:03,100,0.601,1699125543.0
2023/11/4 19:19:04,100,0.6,1699125544.0
2023/11/4 19:19:05,100,0.607,1699125545.0
2023/11/4 19:19:06,99,0.615,1699125546.0
2023/11/4 19:19:07,99,0.62,1699125547.0
2023/11/4 19:19:08,98,0.619,1699125548.0
2023/11/4 19:19:09,98,0.609,1699125549.0
2023/11/4 19:19:10,98,0.608,1699125550.0
2023/11/4 19:19:11,98,0.614,1699125551.0
2023/11/4 19:19:12,98,0.608,1699125552.0
2023/11/4 19:19:13,98,0.61,1699125553.0
2023/11/4 19:19:14,98,0.609,1699125554.0
2023/11/4 19:19:15,98,0.607,1699125555.0
2023/11/4 19:19:16,98,0.607,1699125556.0
2023/11/4 19:19:17,98,0.607,1699125557.0
2023/11/4 19:19:18,98,0.612,1699125558.0
2023/11/4 19:19:19,98,0.61,1699125559.0
2023/11/4 19:19:20,98,0.624,1699125560.0
2023/11/4 19:19:21,98,0.619,1699125561.0
2023/11/4 19:19:22,97,0.625,1699125562.0
2023/11/4 19:19:23,97,0.619,1699125563.0
2023/11/4 19:19:24,97,0.634,1699125564.0
2023/11/4 19:19:25,96,0.633,1699125565.0
2023/11/4 19:19:26,96,0.637,1699125566.0
2023/11/4 19:19:27,95,0.624,1699125567.0
2023/11/4 19:19:28,95,0.623,1699125568.0
2023/11/4 19:19:29,96,0.609,1699125569.0
2023/11/4 19:19:30,97,0.603,1699125570.0
2023/11/4 19:19:31,97,0.607,1699125571.0
2023/11/4 19:19:32,98,0.615,1699125572.0
2023/11/4 19:19:33,98,0.626,1699125573.0
2023/11/4 19:19:34,97,0.628,1699125574.0
2023/11/4 19:19:35,97,0.632,1699125575.0
2023/11/4 19:19:36,97,0.64,1699125576.0
2023/11/4 19:19:37,96,0.651,1699125577.0
2023/11/4 19:19:38,95,0.66,1699125578.0
2023/11/4 19:19:39,94,0.665,1699125579.0
2023/11/4 19:19:40,93,0.651,1699125580.0
2023/11/4 19:19:41,93,0.661,1699125581.0
2023/11/4 19:19:42,92,0.657,1699125582.0
2023/11/4 19:19:43,92,0.648,1699125583.0
2023/11/4 19:19:53,95,0.613,1699125593.0
2023/11/4 19:19:54,96,0.591,1699125594.0
2023/11/4 19:19:55,97,0.589,1699125595.0
2023/11/4 19:19:56,99,0.576,1699125596.0
2023/11/4 19:19:57,101,0.573,1699125597.0
2023/11/4 19:19:58,102,0.568,1699125598.0
2023/11/4 19:19:59,103,0.562,1699125599.0
2023/11/4 19:20:00,104,0.559,1699125600.0
2023/11/4 19:20:01,105,0.563,1699125601.0
2023/11/4 19:20:02,106,0.571,1699125602.0
2023/11/4 19:20:03,106,0.572,1699125603.0
2023/11/4 19:20:04,105,0.573,1699125604.0
2023/11/4 19:20:05,105,0.59,1699125605.0
2023/11/4 19:20:06,104,0.593,1699125606.0
2023/11/4 19:20:07,103,0.586,1699125607.0
2023/11/4 19:20:08,103,0.591,1699125608.0
2023/11/4 19:20:09,103,0.596,1699125609.0
2023/11/4 19:20:10,102,0.603,1699125610.0
2023/11/4 19:20:11,101,0.617,1699125611.0
2023/11/4 19:20:12,100,0.619,1699125612.0
2023/11/4 19:20:13,99,0.634,1699125613.0
2023/11/4 19:20:14,98,0.629,1699125614.0
2023/11/4 19:20:15,97,0.64,1699125615.0
2023/11/4 19:20:16,96,0.64,1699125616.0
2023/11/4 19:20:17,96,0.645,1699125617.0
2023/11/4 19:20:18,95,0.627,1699125618.0
2023/11/4 19:20:19,95,0.599,1699125619.0
2023/11/4 19:20:20,96,0.612,1699125620.0
2023/11/4 19:20:21,97,0.605,1699125621.0
2023/11/4 19:20:22,97,0.608,1699125622.0
2023/11/4 19:20:23,98,0.595,1699125623.0
2023/11/4 19:20:24,99,0.599,1699125624.0
2023/11/4 19:20:25,99,0.603,1699125625.0
2023/11/4 19:20:26,100,0.587,1699125626.0
2023/11/4 19:20:27,100,0.584,1699125627.0
2023/11/4 19:20:28,101,0.593,1699125628.0
